"","date_report","NL_new_cases","NL_import","NL_contacts","NS_new_cases","NS_import","NS_contacts","NB_new_cases","NB_import","NB_contacts","PEI_new_cases","PEI_import","PEI_contacts","YT_new_cases","YT_import","YT_contacts","NWT_new_cases","NWT_import","NWT_contacts","NU_new_cases","NU_import","NU_contacts"
"59",2020-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",2020-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",2020-08-31,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",2020-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",2020-09-02,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",2020-09-03,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"65",2020-09-04,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"66",2020-09-05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67",2020-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",2020-09-07,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
"69",2020-09-08,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"70",2020-09-09,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"71",2020-09-10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",2020-09-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",2020-09-12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",2020-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",2020-09-14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",2020-09-15,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"77",2020-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
